
"UC Santa Barbara",115.594,110.731,0.621099,15-8,15,23,56.1,54,36.7,43.9,18.5,18.2,32.4,26.3,63.6965,54.6,53.4,38.7,36.7,0,0,57.4,51.6,43,38.2,63.6965,,,,2026,,,,-4.61021,77.8,
"Arkansas Pine Bluff",104.743,113.701,0.28013,9-13,9,22,48.5,53.2,37.6,47.4,19.3,15.9,27.2,35.2,70.3816,48,55.7,32.9,32.8,0,0,56.3,57.1,37.3,38,70.3816,,,,2026,,,,-7.22854,75.6,
Toledo,112.59,111.723,0.522217,12-11,12,23,52.6,55.1,33.5,27.1,15.8,18.9,31,35.9,68.4474,52.2,56.5,35.6,35.4,0,0,53.1,53.1,32.7,40,68.4474,,,,2026,,,,-6.60711,77.7,
Indiana,123.552,100.151,0.917949,15-8,15,23,55.9,46.9,36.6,38.7,15,16.2,28.5,28.8,67.009,59.1,47.1,35.3,31,0,0,65.2,46.3,52,35.7,67.009,,,,2026,,,,0.873985,78.6,
Louisiana,99.6932,110.528,0.233897,8-16,8,24,47.7,51.2,26.2,45.9,18.1,17.6,27.5,32,62.2858,45.8,49.4,33.3,36.2,0,0,49.3,52.4,44,37.7,62.2858,,,,2026,,,,-12.3087,69.2,
"Central Michigan",104.635,114.49,0.262093,7-16,7,23,50.2,54.5,30.5,41,18,16,29.1,34.1,66.6875,51.1,54.9,32.2,36,0,0,56.3,58.6,34.4,39.1,66.6875,,,,2026,,,,-11.3206,70.2,
Brown,95.3844,105.378,0.241241,7-13,7,20,46.9,49.5,27.6,35.2,18.5,18.3,29.5,29.6,66.094,47.6,51.2,30.4,31.3,0,0,59.5,51.8,36.4,40.1,66.094,,,,2026,,,,-10.735,70.2,
"Wright St.",113.414,107.328,0.653459,15-9,15,24,53.9,52.1,36.9,35.1,16.2,17.1,32.3,30.3,66.5311,54.4,53,35.2,33.6,0,0,46.9,44.8,34.8,33.9,66.5311,,,,2026,,,,-5.32986,74.2,
"UC Irvine",103.988,98.1828,0.659396,16-7,16,23,48.2,44.1,38.9,28.6,17.3,18.3,30.8,31.9,68.1736,48.4,40.5,31.9,33.8,0,0,54.5,53.3,28.3,35,68.1736,,,,2026,,,,-3.52179,67.9,
Montana,107.782,106.036,0.546816,13-11,13,24,56.4,51,36.5,33.5,20.2,15.3,22.9,30.5,69.1112,57.1,51.9,37,32.9,0,0,56.8,51.9,40.3,37,69.1112,,,,2026,,,,-6.57825,78.8,
UAB,109.85,107.517,0.561403,14-9,14,23,48.5,50.4,38.3,31.4,12.8,16.5,33.4,26.7,69.8528,51.1,50.4,28.2,33.6,0,0,48.9,52.3,30,39.7,69.8528,,,,2026,,,,-4.90545,70.4,
Tulane,108.459,110.524,0.446004,13-9,13,22,50.4,51.2,45,38,15.2,17.9,22.3,35.9,66.5307,51.7,50.4,32.5,34.9,0,0,54,56.4,44.4,40.2,66.5307,,,,2026,,,,-5.3822,77,
FIU,108.546,108.254,0.507764,11-11,11,22,50.6,52.4,41.2,36.3,16.9,20,32.3,35.5,72.6168,50.1,52.7,34.5,34.8,0,0,50.2,63.9,33.5,46,72.6168,,,,2026,,,,-6.80667,68.2,
BYU,124.22,101.957,0.90647,17-5,17,22,55.9,49.2,34.9,28.6,15.3,16.7,35.5,28.1,70.2526,57.3,49.3,35.9,32.6,0,0,49,53.8,41.1,39.3,70.2526,,,,2026,,,,3.59681,74.7,
"Illinois Chicago",108.841,104.437,0.61655,13-11,13,24,48.1,49.4,39,36.1,18.1,20.1,36.9,34.5,66.1793,49,51.3,30.8,31.4,0,0,52.3,65,33.8,44.7,66.1793,,,,2026,,,,-6.17995,72.9,
Xavier,113.49,105.962,0.687697,12-11,12,23,51.1,53.2,28.1,32.7,14.3,17,26.2,29,70.4747,48.9,54,36.2,34.5,0,0,65.5,64.3,41.4,35.7,70.4747,,,,2026,,,,-2.66064,70.7,
Charlotte,113.679,112.54,0.528938,13-10,13,23,53.6,51.2,40.1,40.5,18.3,14.6,35.7,31.9,63.2233,52.6,51.3,36.7,34.1,0,0,50.6,48.8,42.7,40.1,63.2233,,,,2026,,,,-5.83309,71.4,
Canisius,95.6426,114.348,0.113622,8-17,8,25,46.2,53.6,31.9,33.7,19.6,16.6,29.7,30.5,63.8777,43.1,56.4,34,33.5,0,0,55.4,58.6,39.6,45.7,63.8777,,,,2026,,,,-13.8193,69.6,
"Wake Forest",114.595,103.573,0.761887,11-11,11,22,52.6,51.9,33,37.6,16.1,20.1,30.3,33.8,69.1967,54,55.5,33.8,32,0,0,52.8,59.7,44.4,47.3,69.1967,,,,2026,,,,-2.57303,76.7,
"Florida Atlantic",111.869,104.73,0.680992,14-10,14,24,53.1,50.2,33.2,37.3,18.1,16.7,33,28.5,70.4569,54.8,49,33.8,34.9,0,0,48.3,47.2,40.8,36.1,70.4569,,,,2026,,,,-4.79704,70.9,
Northeastern,109.601,118.306,0.2934,6-16,6,22,53.5,56.2,31,40.3,16.6,17.9,27.5,33.2,69.9826,54.2,57.6,34.9,35.7,0,0,55.8,49.4,37.6,35.2,69.9826,,,,2026,,,,-12.1456,68.6,
"Robert Morris",108.982,112.17,0.417853,15-10,15,25,54,51.1,29.2,44.3,18.9,15.7,37.1,29.1,64.9939,52.2,50.7,37.8,34.5,0,0,63.3,52.2,40.2,35.7,64.9939,,,,2026,,,,-6.5907,69.1,
Seattle,101.81,97.2981,0.627448,15-9,15,24,49.9,48.3,33.7,34.1,17.3,21.6,24.7,33.3,68.4432,50.3,48.8,32.8,31.6,0,0,52.7,53.7,38,36.6,68.4432,,,,2026,,,,-3.7473,70.2,
Villanova,121.349,99.7632,0.904864,17-5,17,22,54.5,50.6,31.4,28.2,15.6,18.6,35,32.3,63.2134,54.3,50.4,36.5,34,0,0,55,50.3,45.8,37.5,63.2134,,,,2026,,,,2.60224,71.1,
Howard,99.3323,106.566,0.308226,14-9,14,23,47.6,48.8,41.4,40.8,20.6,21.3,35.2,32.3,68.6569,47.1,49,32.5,32.3,0,0,57.8,49.4,34.2,35.3,68.6569,,,,2026,,,,-6.39093,73.6,
"Utah St.",122.378,100.022,0.910507,19-3,19,22,57.1,48.3,37,39.7,16.3,21.9,36.2,31,68.0416,60.3,47.5,34.8,32.9,0,0,58.9,45.9,39.3,41.6,68.0416,,,,2026,,,,2.90873,70.2,
